message,intent,is_payment_related,is_fraud,risk_label,phone_number,upi_id,amount,urgency,impersonation,suspicious_keywords
"Task completed! To withdraw your earnings of Rs. 5,000/-, pay Rs 299 unlock fee to npci.verify942@oksbi.",JOB_SCAM,True,True,HIGH,,npci.verify942@oksbi,299.0,False,True,upfront_fee|job
Landlord said the plumber will come at 16:00 tomorrow.,NON_PAYMENT,False,False,LOW,,,,False,False,
"Attention: your account has been put on hold due to incomplete KYC. Pay ₹2,499 to task.fee682@ybl jaldi to restore access. call +91 90955 77200",KYC_SCAM,True,True,HIGH,+919095577200,task.fee682@ybl,2499.0,True,True,urgency|kyc_credential
Sai Electricals: admission deposit of 480 for patient Tanvi K is due today so the admission can be completed Pay at the billing counter or to UPI saielectrica@paytmqr Receipt will be issued,MERCHANT_PAYMENT,True,False,LOW,,saielectrica@paytmqr,,False,False,
"Wrong transfer alert: ₹2,500 credited to you by error. Reverse the amount asap to bank.verify900@okaxis or call 87281-22647.",REFUND_SCAM,True,True,HIGH,+918728122647,bank.verify900@okaxis,2500.0,True,True,urgency|refund
"simran, mera recharge khatam ho gaya, ₹8,000 farhanshr@paytm pe bhej dena please.",FRIEND_FAMILY_PAYMENT,True,False,LOW,,farhanshr@paytm,8000.0,False,False,
"Sent ₹1,000 for Diwali shopping to amit4@ibl, check and tell me if received.",FRIEND_FAMILY_PAYMENT,True,False,LOW,,amit4@ibl,1000.0,False,False,
"SBI: credit card statement generated. Total due Rs 5600, minimum due INR 560. Pay via net banking or the SBI app.",BANK_REQUEST,True,False,LOW,,,5600.0,False,False,impersonation
Dear valued customer PAN-Aadhaar link pending for your HDFC Bank account Pay 499 processing charge to claimprize@okaxis final notice otherwise your account will be suspended,KYC_SCAM,True,True,HIGH,,claimprize@okaxis,,True,True,urgency|kyc_credential|impersonation|upfront_fee|qr_link
HI DA INR 1200 DE DENA MOVIE TICKETS KE LIYE KARAN@YBL,PAYMENT_REQUEST,True,False,LOW,,karan@ybl,1200.0,False,False,
"Ishita, ₹1,000 for Mummy's medicines. My UPI naveen@apl or call me 9176821565",FRIEND_FAMILY_PAYMENT,True,False,LOW,+919176821565,naveen@apl,1000.0,False,False,
"KYC update ke liye Rs 999 to hrdesk@oksbi asap pay karo, else your card will be permanently blocked. Axis Bank support 9647951279",KYC_SCAM,True,True,HIGH,+919647951279,hrdesk@oksbi,999.0,True,True,urgency|kyc_credential|impersonation
Loan EMI overdue. Pay 1k urgently to tanvilak@oksbi or your number will be disconnected. Recovery agent will visit.,URGENCY_PAYMENT,True,True,HIGH,,tanvilak@oksbi,1000.0,True,False,urgency
"gift voucher worth ₹100,000 approved for you. pay delivery charge 999 on reward.claim887@oksbi last chance.",PRIZE_SCAM,True,True,HIGH,,reward.claim887@oksbi,100000.0,True,True,urgency|reward|upfront_fee|marketplace
"Your Jio broadband plan renews on 20 Dec. Amount Rs. 299/-. Auto-pay is enabled, no action needed.",BILL_PAYMENT,True,False,LOW,,,299.0,False,False,
"IDFC First: credit card statement generated. Total due ₹4,300, minimum due ₹430. Pay via net banking or the IDFC First app.",BANK_REQUEST,True,False,LOW,,,4300.0,False,False,
"I can pay ₹25,000 for the PS5, pickup from your place. Share your UPI ID or I will pay cash on pickup.",MARKETPLACE_PAYMENT,True,False,LOW,,,25000.0,False,False,
quick laundry: admission deposit of 3596 for patient naveen r is due today so the admission can be completed. pay at the billing counter or to upi quicklaundry@okbizaxis. receipt will be issued.,MERCHANT_PAYMENT,True,False,LOW,,quicklaundry@okbizaxis,,False,False,
"washing machine ke liye 18k theek hai. kal aake dekh ke pay kar dunga, cash ya upi dono chalega.",MARKETPLACE_PAYMENT,True,False,LOW,,,18000.0,False,False,
"Hi, this is Mr. Sharma from accounts. I am in a meeting and need ₹10,000 transferred right now to tradepro467@upi for a vendor. Will reimburse today.",IMPERSONATION,True,True,HIGH,,tradepro467@upi,10000.0,True,True,urgency
"Your number was selected for Rs 5000 reward. Send ₹499 GST charge to task.fee@ibl aaj hi, last chance.",PRIZE_SCAM,True,True,HIGH,,task.fee@ibl,499.0,True,True,urgency|reward
MSEDCL: your bill of 1340 for consumer no. 777831 is due on 21 May. Pay via the MSEDCL app or BBPS.,BILL_PAYMENT,True,False,LOW,,,,False,False,
"PNB: auto-debit of ₹22,000 for your SIP will be attempted on 19th. Please keep sufficient balance.",BANK_REQUEST,True,False,LOW,,,22000.0,False,False,
Star Mobile Repair: admission deposit of 720 rupees for patient Rahul K is due today so the admission can be completed. Pay at the billing counter or to UPI starmobilere@axisbank. Receipt will be issued.,MERCHANT_PAYMENT,True,False,LOW,,starmobilere@axisbank,720.0,False,False,
"Flight lands at 5:05, gate 23.",NON_PAYMENT,False,False,LOW,,,,False,False,
"Adani Gas: your bill of ₹1,340 for consumer no. 759761 is due on 15 May. Pay via the Adani Gas app or BBPS.",BILL_PAYMENT,True,False,LOW,,,1340.0,False,False,
"Data entry job offer, no experience needed. Registration 2500 rupees only, pay on support.desk480@upi. Salary 80k.",JOB_SCAM,True,True,HIGH,,support.desk480@upi,80000.0,False,True,job
Cafe Nirvana: your bill is ₹350. Pay via UPI cafenirvana@icici or at the counter. Thank you for visiting.,MERCHANT_PAYMENT,True,False,LOW,,cafenirvana@icici,350.0,False,False,
Double your money scheme! Send ₹10000 to kycsupport@oksbi and receive ₹30000 by Monday WhatsApp 7340870568,INVESTMENT_SCAM,True,True,HIGH,+917340870568,kycsupport@oksbi,10000.0,False,False,investment
Payment of ₹649 received for Tata Power bill. Receipt no. 47891271.,BILL_PAYMENT,True,False,LOW,,,649.0,False,False,
"Gift voucher worth ₹10,000 approved for you. Pay delivery charge ₹199 on kyc.support@ibl aaj hi.",PRIZE_SCAM,True,True,HIGH,,kyc.support@ibl,199.0,True,True,urgency|reward|upfront_fee|marketplace
NEED INR 1000 FOR THE FLIGHT CHANGE TODAY PLEASE SEND TO BHAVYAIYER@OKAXIS AND I'LL SETTLE WHEN BACK,FRIEND_FAMILY_PAYMENT,True,False,LOW,,bhavyaiyer@okaxis,1000.0,True,False,
"Hi, saw your OLX ad for the Royal Enfield. Can I come and check it tomorrow? If ok I will pay 1500 on PhonePe after seeing it.",MARKETPLACE_PAYMENT,True,False,LOW,,,,False,False,marketplace
"task completed! to withdraw your earnings of 5000 rupees, pay ₹199 unlock fee to npci.verify@oksbi.",JOB_SCAM,True,True,HIGH,,npci.verify@oksbi,199.0,True,True,upfront_fee|job
Payment of Rs 2460 received for Airtel bill. Receipt no. 79265026.,BILL_PAYMENT,True,False,LOW,,,2460.0,False,False,
"Dear customer, PAN-Aadhaar link pending for your ICICI Bank account. Pay 2999 processing charge to verify.now@okaxis turant warna account block ho jayega.",KYC_SCAM,True,True,HIGH,,verify.now@okaxis,,True,True,urgency|kyc_credential|impersonation|upfront_fee|qr_link
Recharge reminder: your BSNL plan expires on 9 Oct Recharge Rs 3120/- from the app to continue,BILL_PAYMENT,True,False,LOW,,,3120.0,False,False,kyc_credential
"YOUR ELECTRICITY CONNECTION WILL BE CUT RIGHT NOW. PAY PENDING BILL RS. 3,000/- TO SANJAYSAN@OKHDFCBANK NOW. OFFICER 9911755742",IMPERSONATION,True,True,HIGH,+919911755742,sanjaysan@okhdfcbank,3000.0,True,True,urgency|impersonation
"idfc first: auto-debit of rs. 8,900/- for your sip will be attempted on 9th. please keep sufficient balance.",BANK_REQUEST,True,False,LOW,,,8900.0,False,False,
"Beta, send ₹18,000 to josephkav@upi for the school fees, Neha will pay you back next week.",FRIEND_FAMILY_PAYMENT,True,False,LOW,,josephkav@upi,18000.0,False,False,
Can you send 1500 to rahul@axl? Rent is due tomorrow and my salary is delayed. Will return by 5th.,FRIEND_FAMILY_PAYMENT,True,False,LOW,,rahul@axl,,True,False,job
Lucky customer! 250000 rupees bonus credited pending. Transfer ₹299 to verifybank@axl for release within 1 hour. Contact +919519378495,PRIZE_SCAM,True,True,HIGH,+919519378495,verifybank@axl,299.0,True,True,urgency|reward
"Simran bhai, 18000 rupees for the train tickets, simran@okhdfcbank pe bhej do. Thanks!",FRIEND_FAMILY_PAYMENT,True,False,LOW,,simran@okhdfcbank,18000.0,False,False,
"Hi da reminder, Rs. 300/- pending for the Netflix split. gurpreet86@okicici or cash, whatever is easy.",PAYMENT_REQUEST,True,False,LOW,,gurpreet86@okicici,300.0,False,False,
"Beta 8000 rupees bhej dena papa ke dawai ke liye karandiv@ptsbi, kal wapas kar dungi.",FRIEND_FAMILY_PAYMENT,True,False,LOW,,karandiv@ptsbi,8000.0,True,False,
Badhai ho! Aapne Flipkart lottery me Rs 10000/- jeeta hai Claim karne ke liye 999 rupees billdesk782@paytm pe asap bhejo,PRIZE_SCAM,True,True,HIGH,,billdesk782@paytm,10000.0,True,True,urgency|reward
"Scan QR karo aur PIN dalo, ₹2,000 tumhare account me aa jayega. Jaldi karo.",QR_SCAM,True,True,HIGH,,,2000.0,True,True,urgency|kyc_credential|qr_link
attention: your idfc first kyc expires today. pay 1999 verification fee asap to bank.verify110@ibl or your account will be blocked. call +917178449883,KYC_SCAM,True,True,HIGH,+917178449883,bank.verify110@ibl,,True,True,urgency|kyc_credential|upfront_fee
"Your number was selected for ₹25,000 reward. Send ₹99 GST charge to kyc.support@oksbi within 1 hour, last chance.",PRIZE_SCAM,True,True,HIGH,,kyc.support@oksbi,99.0,True,True,urgency|reward
Bhai kal 11 baje milte hain college gate pe.,NON_PAYMENT,False,False,LOW,,,,False,False,
"IDFC First: cheque no. 629264 for ₹15,400 has been cleared.",BANK_REQUEST,True,False,LOW,,,15400.0,False,False,
Payment of Rs. 500/- is required today only. Use UPI lakshmidiv@fbl. Do not ignore this message.,URGENCY_PAYMENT,True,True,HIGH,,lakshmidiv@fbl,500.0,True,False,urgency
"Priya, ₹8,000 chahiye college fees ke liye, arjun39@fbl pe bhej do please, agle hafte lauta dunga.",FRIEND_FAMILY_PAYMENT,True,False,LOW,,arjun39@fbl,8000.0,True,False,
"You have received Rs 10000 cashback from IPL. Pay ₹1,999 activation charge to claimprize@okaxis to receive it abhi.",PRIZE_SCAM,True,True,HIGH,,claimprize@okaxis,1999.0,True,True,urgency|reward
Hello I'm calling from IDFC First security Your account is compromised Move ₹3000 to safe account nishadas@oksbi abhi,IMPERSONATION,True,True,HIGH,,nishadas@oksbi,3000.0,True,True,urgency|impersonation
Your repair at Lakeview Hospital is complete. Total Rs 1499. UPI: lakeviewhosp@icici. Collect anytime before 8 pm.,MERCHANT_PAYMENT,True,False,LOW,,lakeviewhosp@icici,1499.0,False,False,
"Double your money scheme! Send 25000 rupees to reward.claim@ibl and receive ₹125,000 by Monday. WhatsApp +919801588480",INVESTMENT_SCAM,True,True,HIGH,+919801588480,reward.claim@ibl,25000.0,True,False,investment
"dear valued customer, pan-aadhaar link pending for your canara bank account. pay 2499 rupees processing charge to kyc.support315@axl abhi warna account block ho jayega.",KYC_SCAM,True,True,HIGH,,kyc.support315@axl,2499.0,True,True,urgency|kyc_credential|impersonation|upfront_fee|qr_link
"Your Jio broadband plan renews on 2 Feb. Amount ₹1,050. Auto-pay is enabled, no action needed.",BILL_PAYMENT,True,False,LOW,,,1050.0,False,False,
"Bill generated for Tata Power: ₹1,340. View and pay from the official app. Ignore if already paid.",BILL_PAYMENT,True,False,LOW,,,1340.0,False,False,impersonation
final notice from canara bank: pay kyc verification fee ₹999 to prizecenter@ibl urgently otherwise your account will be suspended,KYC_SCAM,True,True,HIGH,,prizecenter@ibl,999.0,True,True,urgency|kyc_credential|impersonation|upfront_fee
Dear account holder PAN-Aadhaar link pending for your SBI account Pay 5999 processing charge to hrdesk@axl aaj hi nahi toh account band ho jayega,KYC_SCAM,True,True,HIGH,,hrdesk@axl,,True,True,urgency|kyc_credential|impersonation|upfront_fee|qr_link
Your repair at Deluxe Tailors is complete Total ₹4500 UPI: deluxetailor@ybl Collect anytime before 8 pm,MERCHANT_PAYMENT,True,False,LOW,,deluxetailor@ybl,4500.0,False,False,
Send Rs 2000 urgently to suresh@paytm. Time limit 30 minutes. or your number will be disconnected.,URGENCY_PAYMENT,True,True,HIGH,,suresh@paytm,2000.0,True,False,urgency
"Dear user, your account has been put on hold due to incomplete KYC. Pay ₹5,999 to securebank734@ibl today only to restore access.",KYC_SCAM,True,True,HIGH,,securebank734@ibl,5999.0,True,True,urgency|kyc_credential|impersonation
Pay INR 1000 within 24 hours to reward.claim@oksbi else your card will be permanently blocked. This is the last reminder.,URGENCY_PAYMENT,True,True,HIGH,,reward.claim@oksbi,1000.0,True,False,urgency
Bill generated for Delhi Jal Board: ₹499. View and pay from the official app. Ignore if already paid.,BILL_PAYMENT,True,False,LOW,,,499.0,False,False,impersonation
"Beta INR 3000 bhej dena papa ke dawai ke liye harsh.singh@axl, kal wapas kar dungi.",FRIEND_FAMILY_PAYMENT,True,False,LOW,,harsh.singh@axl,3000.0,True,False,
"ICICI Bank alert: Rs 12000 debited from a/c XX8348 for UPI txn. If not you, call the number on the back of your card.",BANK_REQUEST,True,False,LOW,,,12000.0,False,False,impersonation
"Hi the Netflix split ka 1200 rupees bhej dena, meera@fbl",PAYMENT_REQUEST,True,False,LOW,,meera@fbl,1200.0,False,False,
"Reminder: BESCOM bill ₹1,890 due 28 Mar. Pay through Paytm bill payments section.",BILL_PAYMENT,True,False,LOW,,,1890.0,False,False,
bro my son sent rs 3000 to your upi by mistake he is crying please send it back final notice on jobportalfee@okaxis god bless you,REFUND_SCAM,True,True,HIGH,,jobportalfee@okaxis,3000.0,True,True,urgency
"Bro 2000 rupees for movie tickets please, GPay on joseph.das@oksbi. Thanks!",PAYMENT_REQUEST,True,False,LOW,,joseph.das@oksbi,2000.0,False,False,
Badhai ho! Aapne Dream11 lottery me Rs 100000 jeeta hai. Claim karne ke liye ₹299 sbi.kyc579@upi pe final notice bhejo.,PRIZE_SCAM,True,True,HIGH,,sbi.kyc579@upi,100000.0,True,True,urgency|reward
recharge reminder: your bescom plan expires on 22 jan. recharge 1050 rupees from the app to continue.,BILL_PAYMENT,True,False,LOW,,,1050.0,False,False,kyc_credential
"payment for the cycle done, ₹6,000 via bhim to joseph8@ptsbi. please share the invoice.",MARKETPLACE_PAYMENT,True,False,LOW,,joseph8@ptsbi,6000.0,False,False,
Happy birthday Ayesha! Have a great year ahead.,NON_PAYMENT,False,False,LOW,,,,False,False,
Your resume is shortlisted at Infosys Document verification fee ₹2000 payable to kycupdate486@oksbi within 24 hours,JOB_SCAM,True,True,HIGH,,kycupdate486@oksbi,2000.0,True,True,urgency|kyc_credential|upfront_fee
"Your number was selected for 50000 rupees reward. Send 999 GST charge to hdfc.verify436@axl urgently, last chance.",PRIZE_SCAM,True,True,HIGH,,hdfc.verify436@axl,50000.0,True,True,urgency|reward
"Lucky customer! Rs. 100,000/- bonus credited pending. Transfer Rs 99 to tradepro681@paytm for release right now. Contact 9363201546",PRIZE_SCAM,True,True,HIGH,+919363201546,tradepro681@paytm,99.0,True,True,urgency|reward
Bhai kal 10 baje milte hain college gate pe,NON_PAYMENT,False,False,LOW,,,,False,False,
Hi Ayesha transferring Rs 5000 for the groceries you got Sending to rajesh@fbl,FRIEND_FAMILY_PAYMENT,True,False,LOW,,rajesh@fbl,5000.0,False,False,
"Hi Amit, transferring ₹3,000 for the groceries you got. Sending to naveen87@okaxis.",FRIEND_FAMILY_PAYMENT,True,False,LOW,,naveen87@okaxis,3000.0,True,False,
"Mama here, new number. Phone broke. Send ₹8,000 today only to prize.center@upi, emergency, will explain later.",IMPERSONATION,True,True,HIGH,,prize.center@upi,8000.0,True,True,urgency|impersonation
"Nani here, new number. Phone broke. Send ₹2,000 before midnight to divya@okhdfcbank, emergency, will explain later.",IMPERSONATION,True,True,HIGH,,divya@okhdfcbank,2000.0,True,True,urgency|impersonation
Data entry job offer no experience needed Registration Rs 499/- only pay on bankverify758@upi Salary Rs 25000,JOB_SCAM,True,True,HIGH,,bankverify758@upi,25000.0,True,True,job
bro reminder ₹150 pending for the uber karan@ybl or cash whatever is easy,PAYMENT_REQUEST,True,False,LOW,,karan@ybl,150.0,False,False,
"Axis Bank: EMI of ₹22,000 for loan a/c ending 4977 is due on 10th. Maintain sufficient balance. Do not share OTP with anyone.",BANK_REQUEST,True,False,LOW,,,22000.0,False,False,kyc_credential|impersonation
"₹2,000 urgently deepak@fbl pe bhejo or the amount will be forfeited, warna problem ho jayegi.",URGENCY_PAYMENT,True,True,HIGH,,deepak@fbl,2000.0,True,True,urgency
"Yaar ₹600 de dena the Netflix split ke liye, karan@ptaxis",PAYMENT_REQUEST,True,False,LOW,,karan@ptaxis,600.0,False,False,
can you pick up 33 kg of rice on the way back?,NON_PAYMENT,False,False,LOW,,,,False,False,
"Lucky customer! ₹10,000 bonus credited pending. Transfer ₹99 to jobportal.fee@oksbi for release right now. Contact 06202241756",PRIZE_SCAM,True,True,HIGH,+916202241756,jobportal.fee@oksbi,99.0,True,True,urgency|reward
tata power: your bill of rs 649 for consumer no. 225025 is due on 14 mar. pay via the tata power app or bbps.,BILL_PAYMENT,True,False,LOW,,,649.0,False,False,
Deluxe Tailors se order ready hai. ₹250 deluxetailor@okbizaxis pe pay kar dena ya cash de dena.,MERCHANT_PAYMENT,True,False,LOW,,deluxetailor@okbizaxis,250.0,False,False,
"Pending due of Rs. 3,000/- must be cleared before midnight. Send to anjali@okaxis. No further extension.",URGENCY_PAYMENT,True,True,HIGH,,anjali@okaxis,3000.0,True,False,urgency
"Main Mr. Sharma from accounts bol raha hoon. Meeting me hoon, ₹3,000 jaldi customer.care@ibl pe bhej do, vendor wait kar raha hai.",IMPERSONATION,True,True,HIGH,,customer.care@ibl,3000.0,True,True,urgency
Dude your share for the concert tickets is ₹800 Pay to kiran@ptaxis whenever free,PAYMENT_REQUEST,True,False,LOW,,kiran@ptaxis,800.0,False,False,
Crypto trading tips group: deposit INR 1000 to bank.verify@axl and earn daily profit of ₹300. 100% safe.,INVESTMENT_SCAM,True,True,HIGH,,bank.verify@axl,1000.0,False,False,investment|job
"invest rs 5000 today and get 50000 rupees in 7 days, guaranteed returns. pay to bank.verify@axl. limited slots.",INVESTMENT_SCAM,True,True,HIGH,,bank.verify@axl,5000.0,False,False,investment
Hi da send Rs. 800/- for movie tickets. UPI: sneha@oksbi,PAYMENT_REQUEST,True,False,LOW,,sneha@oksbi,800.0,False,False,
"Dear account holder, your Axis Bank KYC expires today. Pay INR 4999 verification fee within 24 hours to refundteam371@ibl nahi toh account band ho jayega. call +91 82843 47955",KYC_SCAM,True,True,HIGH,+918284347955,refundteam371@ibl,4999.0,True,True,urgency|kyc_credential|impersonation|upfront_fee
"Yaar yesterday's dinner ka ₹250 per head aaya hai, sabko bhejna hai ananya@fbl pe by friday",PAYMENT_REQUEST,True,False,LOW,,ananya@fbl,250.0,False,False,
"Yaar galti se ₹2,000 aapke account me chala gaya. Please turant wapas bhej do ananya.patel@ptsbi pe.",REFUND_SCAM,True,True,HIGH,,ananya.patel@ptsbi,2000.0,True,False,urgency|refund
"Thanks for your order at Lakeview Hospital. Amount due Rs. 1,200/-. Pay on delivery or to lakeviewhosp1@paytmqr.",MERCHANT_PAYMENT,True,False,LOW,,lakeviewhosp1@paytmqr,1200.0,False,False,marketplace
"Sent ₹500 for Diwali shopping to gurpreet.patel@apl, check and tell me if received.",FRIEND_FAMILY_PAYMENT,True,False,LOW,,gurpreet.patel@apl,500.0,True,False,
"DEAR WINNER, YOUR AMAZON PRIZE OF ₹10,000 IS READY. REGISTRATION FEE 1499 TO BANK.VERIFY@UPI. CALL +919583441730 ABHI.",PRIZE_SCAM,True,True,HIGH,+919583441730,bank.verify@upi,10000.0,True,True,urgency|reward|upfront_fee|job
congratulations on the new job aditya! party when?,NON_PAYMENT,False,False,LOW,,,,False,False,reward|job
